S.No.,Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Ageofcar,Brand_Class,Kilometers_Driven_log,Price_log
686,Chennai,55000,Petrol,Manual,First,16.8,1497,116.3,5.0,7.1,7,Low,10.915088464214607,1.9600947840472698
687,Hyderabad,53293,Petrol,Manual,First,13.14,1798,160.0,5.0,6.0,11,Low,10.883560269446571,1.791759469228055
688,Pune,38000,Diesel,Manual,First,24.3,1248,88.5,5.0,7.99,4,Low,10.545341438708522,2.0781907597781832
689,Bangalore,64000,Petrol,Manual,Second,17.0,1197,80.0,5.0,4.1,12,Low,11.06663836234181,1.410986973710262
690,Hyderabad,25058,Petrol,Automatic,First,24.07,998,67.1,5.0,3.95,4,Low,10.128948416805498,1.3737155789130306
691,Kochi,36700,Petrol,Manual,First,21.1,814,55.2,5.0,4.38,5,Low,10.510532034042662,1.4770487243883548
692,Mumbai,35000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.75,10,Low,10.46310334047155,1.0116009116784799
693,Coimbatore,22732,Petrol,Automatic,First,18.1,3498,306.0,2.0,55.54,5,High,10.031528902417012,4.017103481878653
694,Hyderabad,48000,Diesel,Automatic,First,18.53,1968,187.74,5.0,29.0,7,High,10.778956289890028,3.367295829986474
695,Bangalore,62084,Diesel,Manual,First,22.77,1498,98.59,5.0,6.6,8,Low,11.036243585771075,1.8870696490323797
696,Kolkata,39273,Diesel,Automatic,First,14.3,1968,140.0,5.0,6.99,9,High,10.578292538848208,1.944480556245719
697,Bangalore,64798,Diesel,Manual,First,13.68,2393,147.8,7.0,18.75,4,Low,11.079030017666526,2.9311937524164198
698,Jaipur,100002,Diesel,Manual,Third,20.0,1399,68.0,5.0,1.28,11,Low,11.512945464770231,0.2468600779315258
700,Coimbatore,57717,Petrol,Manual,First,18.5,1197,85.8,5.0,4.31,8,Low,10.963307036485082,1.4609379041156563
701,Chennai,109000,Diesel,Automatic,First,12.39,2179,147.51,5.0,16.5,10,High,11.59910316121128,2.803360380906535
702,Coimbatore,74515,Petrol,Manual,First,18.9,1197,82.0,5.0,5.64,4,Low,11.218755726382893,1.7298840655099674
703,Coimbatore,50484,Diesel,Automatic,First,10.91,3198,197.2,7.0,31.12,4,Low,10.829411733378521,3.4378506993101907
704,Kochi,13452,Diesel,Automatic,First,12.8,1968,167.6,5.0,25.46,8,High,9.50688307286016,3.2371085931292605
705,Kochi,37688,Petrol,Manual,First,17.01,1591,121.3,5.0,7.88,4,Low,10.537097020379877,2.064327903869788
706,Chennai,34000,Diesel,Automatic,First,13.0,2143,204.0,5.0,36.0,4,High,10.4341158035983,3.58351893845611
707,Pune,120000,Diesel,Automatic,First,14.0,2987,165.0,5.0,30.0,7,High,11.695247021764184,3.4011973816621555
708,Pune,64000,Petrol,Manual,Second,17.5,1298,85.8,5.0,2.85,13,Low,11.06663836234181,1.0473189942805592
709,Delhi,100000,Petrol,Manual,First,13.0,1343,90.0,5.0,3.5,10,Low,11.512925464970229,1.252762968495368
710,Jaipur,75000,Diesel,Manual,First,20.46,1461,83.8,5.0,7.5,7,Low,11.225243392518447,2.0149030205422647
711,Hyderabad,86000,Diesel,Automatic,First,14.84,2143,170.0,5.0,19.0,9,High,11.362102575235644,2.9444389791664403
712,Hyderabad,69000,Diesel,Automatic,First,15.97,2993,258.0,5.0,54.0,6,High,11.141861783579396,3.9889840465642745
713,Kochi,41721,Petrol,Manual,First,19.1,1197,82.0,5.0,4.7,6,Low,10.63875987814672,1.547562508716013
714,Hyderabad,13000,Petrol,Automatic,First,22.0,1197,81.8,5.0,8.5,4,Low,9.472704636443673,2.1400661634962708
715,Kolkata,38998,Diesel,Automatic,First,16.07,1995,181.0,4.0,17.0,8,High,10.571265641745532,2.833213344056216
716,Kochi,54250,Petrol,Manual,First,22.74,796,47.3,5.0,3.51,4,Low,10.901358271402707,1.2556160374777743
717,Bangalore,45979,Diesel,Automatic,Second,17.11,1968,174.33,5.0,19.5,8,High,10.735940049494326,2.970414465569701
718,Pune,37000,Petrol,Automatic,Second,13.6,1598,181.0,4.0,17.0,9,High,10.51867319162636,2.833213344056216
719,Coimbatore,46983,Diesel,Automatic,Second,12.07,2967,241.4,7.0,43.35,6,High,10.757541113134543,3.769306703226551
721,Kochi,43828,Petrol,Manual,First,20.51,998,67.04,5.0,3.52,6,Low,10.688028161525285,1.2584609896100056
722,Kolkata,53000,Diesel,Manual,First,19.01,1461,108.5,5.0,6.25,5,High,10.87804719253426,1.8325814637483102
723,Ahmedabad,100000,Diesel,Automatic,First,18.88,1995,184.0,5.0,24.75,6,High,11.512925464970229,3.2088254890146994
724,Mumbai,19000,Petrol,Manual,First,20.85,1197,83.14,5.0,5.25,6,Low,9.852194258148577,1.6582280766035324
725,Jaipur,84000,Diesel,Manual,First,17.72,1968,108.5,5.0,11.0,5,Low,11.33857207782545,2.3978952727983707
726,Kochi,37630,Petrol,Automatic,First,15.63,1499,110.4,5.0,9.1,3,Low,10.535556883587484,2.2082744135228043
727,Chennai,67714,Petrol,Manual,First,18.5,1197,80.0,5.0,3.25,11,Low,11.123048232203717,1.1786549963416462
728,Pune,32000,Diesel,Manual,First,15.0,1248,88.5,5.0,8.5,4,Low,10.373491181781864,2.1400661634962708
729,Pune,51000,Petrol,Manual,First,16.2,1599,103.2,5.0,3.1,11,Low,10.839580911706463,1.1314021114911006
730,Kochi,58390,Diesel,Automatic,First,18.88,1995,184.0,5.0,19.86,6,High,10.974899921277583,2.9887076586170265
731,Kolkata,14000,Diesel,Manual,First,24.0,1186,73.97,5.0,4.9,4,Low,9.546812608597396,1.589235205116581
732,Delhi,55818,Petrol,Manual,Second,17.4,1497,117.3,5.0,5.7,7,Low,10.929851676996613,1.7404661748405046
733,Chennai,97800,Petrol,Manual,Third,16.1,1493,93.7,5.0,1.75,15,Low,11.49067985602291,0.5596157879354227
734,Kolkata,52241,Diesel,Manual,First,25.2,1248,74.0,5.0,2.9,9,Low,10.8636229061867,1.0647107369924282
735,Coimbatore,25433,Diesel,Manual,First,27.39,1248,74.0,5.0,7.83,3,Low,10.143802822358657,2.057962510002712
736,Kochi,40611,Diesel,Manual,First,14.0,2179,138.1,7.0,8.15,6,Low,10.611794244853895,2.0980179272527715
737,Bangalore,72000,Petrol,Manual,Second,13.2,1495,94.0,5.0,2.0,13,Low,11.184421397998193,0.6931471805599453
738,Hyderabad,54631,Diesel,Manual,First,25.2,1248,74.0,5.0,6.25,5,Low,10.908356766182873,1.8325814637483102
739,Bangalore,60000,Diesel,Manual,Second,17.8,1248,74.0,5.0,3.4,14,Low,11.002099841204238,1.2237754316221157
740,Coimbatore,24941,Petrol,Automatic,First,21.9,624,37.48,4.0,3.19,5,Low,10.12426831466115,1.1600209167967532
741,Ahmedabad,63939,Diesel,Manual,First,25.47,1248,88.5,7.0,7.75,4,Low,11.065684782829349,2.0476928433652555
742,Delhi,35214,Petrol,Automatic,Second,23.1,998,67.04,5.0,3.2,7,Low,10.46919900978639,1.1631508098056809
743,Delhi,63000,Diesel,Manual,First,25.2,1248,74.0,5.0,4.9,6,Low,11.05089000537367,1.589235205116581
744,Kochi,121377,Petrol,Manual,First,15.04,1598,103.6,5.0,3.8,9,High,11.706656683315746,1.33500106673234
745,Chennai,100970,Diesel,Automatic,First,15.5,1896,105.0,5.0,4.0,12,High,11.522578721998366,1.3862943611198906
746,Hyderabad,60000,Diesel,Automatic,Second,20.7,1496,113.98,5.0,23.5,7,High,11.002099841204238,3.1570004211501135
747,Chennai,77650,Diesel,Manual,First,17.2,1396,53.5,5.0,1.15,13,Low,11.259966828576832,0.13976194237515863
748,Hyderabad,71297,Petrol,Manual,First,17.0,1086,62.1,5.0,2.2,14,Low,11.174609529780854,0.7884573603642703
749,Mumbai,55001,Diesel,Automatic,Second,12.7,2179,187.7,5.0,26.5,13,High,10.915106645867503,3.2771447329921766
750,Bangalore,18955,Petrol,Automatic,First,18.0,1497,117.3,5.0,10.65,6,Low,9.849823027950436,2.365559892155434
751,Coimbatore,47877,Diesel,Automatic,First,16.36,2179,187.7,5.0,35.68,5,High,10.776390501067295,3.5745903077118086
752,Kochi,43368,Diesel,Automatic,First,15.0,2143,204.0,5.0,31.94,4,High,10.677477120940175,3.4638591427868666
754,Ahmedabad,72007,Diesel,Manual,First,15.1,2179,140.0,7.0,9.9,6,Low,11.18451861549464,2.2925347571405443
755,Kochi,56778,Petrol,Automatic,First,11.74,1796,186.0,5.0,15.46,7,High,10.946904205736288,2.738256043159276
756,Kochi,20024,Petrol,Manual,First,18.2,1199,88.7,5.0,8.46,3,Low,9.90468683311161,2.135349173618132
757,Kolkata,42103,Petrol,Manual,First,16.78,1496,88.73,5.0,3.25,8,Low,10.64787427603904,1.1786549963416462
758,Hyderabad,67147,Petrol,Manual,First,19.7,796,46.3,5.0,2.6,9,Low,11.11463952485509,0.9555114450274363
759,Coimbatore,37806,Petrol,Manual,First,20.4,1197,81.8,5.0,5.2,5,Low,10.540223099170111,1.6486586255873816
760,Pune,85000,Petrol,Manual,Third,19.0,998,66.1,5.0,1.8,12,Low,11.350406535472453,0.5877866649021191
761,Chennai,35000,Petrol,Manual,First,25.4,624,37.48,4.0,1.6,10,Low,10.46310334047155,0.47000362924573563
762,Kolkata,72035,Diesel,Manual,First,25.5,1498,99.0,5.0,2.5,6,Low,11.184907390995573,0.9162907318741551
763,Jaipur,48500,Petrol,Manual,First,16.0,1368,90.0,5.0,2.5,10,Low,10.789319076925574,0.9162907318741551
764,Coimbatore,28854,Petrol,Manual,First,18.16,1196,86.8,5.0,6.7,4,Low,10.270003910505718,1.9021075263969205
765,Hyderabad,92450,Petrol,Manual,First,15.4,1590,94.0,5.0,1.2,16,Low,11.43442323681527,0.1823215567939546
766,Coimbatore,14351,Diesel,Automatic,First,18.88,1995,184.0,5.0,35.55,5,High,9.571574905170932,3.5709401562492498
768,Chennai,50000,Diesel,Manual,First,12.7,2609,116.6,8.0,1.94,16,Low,10.819778284410283,0.6626879730752367
769,Hyderabad,73000,Diesel,Manual,First,25.0,1396,69.0,5.0,2.2,5,Low,11.198214720130528,0.7884573603642703
771,Chennai,50000,Diesel,Manual,First,12.8,2494,102.0,8.0,15.65,5,Low,10.819778284410283,2.750470916986162
772,Coimbatore,36797,Diesel,Automatic,First,19.27,2143,167.62,5.0,39.47,3,High,10.513171599094814,3.675540889674756
773,Kolkata,50000,Petrol,Manual,Second,18.5,1197,85.8,5.0,1.5,10,Low,10.819778284410283,0.4054651081081644
774,Ahmedabad,94000,Diesel,Manual,First,12.8,2494,102.0,8.0,8.85,8,Low,11.451050061252142,2.180417459019838
775,Bangalore,74000,Diesel,Manual,Second,12.55,2982,168.5,7.0,17.9,8,Low,11.211820372186306,2.884800712846709
776,Coimbatore,41016,Petrol,Automatic,Second,16.95,1197,78.9,5.0,5.08,7,Low,10.621717513463537,1.6253112615903906
777,Bangalore,67000,Diesel,Manual,First,22.32,1582,126.32,5.0,6.25,9,Low,11.112447898373103,1.8325814637483102
778,Bangalore,76927,Diesel,Automatic,First,15.73,1968,174.33,5.0,22.75,6,High,11.250612199202282,3.1245651453969594
780,Pune,112808,Diesel,Manual,Second,17.8,1399,68.0,5.0,2.05,14,Low,11.633442537517066,0.7178397931503168
781,Coimbatore,74980,Diesel,Manual,First,20.0,1399,68.0,5.0,4.08,7,Low,11.224976690289903,1.4060969884160703
782,Hyderabad,44600,Petrol,Automatic,First,23.1,998,67.04,5.0,4.55,7,Low,10.705489138008156,1.5151272329628591
783,Mumbai,37000,Diesel,Automatic,First,20.0,2143,107.3,5.0,14.0,8,High,10.51867319162636,2.6390573296152584
784,Ahmedabad,21000,Petrol,Manual,First,15.8,1591,121.3,5.0,10.9,5,Low,9.95227771670556,2.388762789235098
785,Bangalore,81245,Petrol,Manual,First,18.9,998,67.1,5.0,2.45,11,Low,11.305224559836876,0.8960880245566357
786,Delhi,70000,Diesel,Automatic,First,10.0,2148,170.0,5.0,15.8,8,High,11.156250521031495,2.760009940032921
787,Mumbai,4018,Petrol,Manual,First,18.88,1499,110.4,5.0,8.25,4,Low,8.29853954537488,2.1102132003465894
788,Delhi,70000,Diesel,Automatic,Second,13.73,1995,148.0,5.0,8.5,8,Low,11.156250521031495,2.1400661634962708
789,Coimbatore,56532,Diesel,Manual,First,16.0,2179,140.0,7.0,15.54,5,Low,10.942562128488042,2.7434173449395014
790,Hyderabad,26875,Petrol,Manual,First,16.8,796,34.2,8.0,2.35,8,Low,10.198951765429964,0.8544153281560676
791,Coimbatore,72599,Petrol,Manual,First,22.5,998,67.04,5.0,4.32,6,Low,11.19270642661334,1.463255402256019
792,Jaipur,205000,Diesel,Manual,Second,13.1,2499,141.0,7.0,3.9,13,Low,12.230765258120545,1.3609765531356006
793,Hyderabad,98000,Diesel,Manual,Second,22.32,1582,126.32,5.0,5.2,10,Low,11.49272275765271,1.6486586255873816
794,Mumbai,19500,Petrol,Manual,First,18.6,1197,81.83,5.0,5.85,3,Low,9.878169744551839,1.766441661243765
795,Bangalore,68000,Petrol,Manual,Second,16.02,1373,93.7,7.0,6.25,8,Low,11.127262984158243,1.8325814637483102
796,Coimbatore,19654,Diesel,Automatic,First,14.0,2179,155.0,7.0,17.63,2,Low,9.886036158922373,2.869601996409779
797,Mumbai,26000,Diesel,Manual,First,23.65,1248,88.5,5.0,9.75,4,Low,10.165851817003619,2.277267285009756
798,Bangalore,10000,Petrol,Automatic,First,18.1,3498,306.0,2.0,55.0,6,High,9.210340371976184,4.007333185232471
799,Hyderabad,75020,Diesel,Manual,First,22.07,1199,73.9,5.0,4.1,10,High,11.225510023635879,1.410986973710262
800,Hyderabad,157000,Diesel,Manual,First,12.55,2982,168.5,7.0,11.99,10,Low,11.964001084330445,2.4840729690394228
801,Kochi,43773,Diesel,Manual,First,16.0,2179,140.0,7.0,13.54,4,Low,10.686772467932132,2.605648267484129
802,Mumbai,21000,Diesel,Automatic,First,17.9,2143,201.15,5.0,56.0,5,High,9.95227771670556,4.02535169073515
803,Chennai,23280,Petrol,Manual,First,18.7,1199,88.7,5.0,6.5,5,Low,10.055349901845375,1.8718021769015913
804,Pune,88000,Diesel,Manual,First,23.4,1248,74.0,5.0,4.75,8,Low,11.385092093460344,1.55814461804655
805,Hyderabad,67000,Petrol,Manual,First,17.01,1591,121.3,5.0,5.6,7,Low,11.112447898373103,1.7227665977411035
806,Coimbatore,59636,Diesel,Automatic,First,10.91,3198,197.0,7.0,29.2,4,Low,10.99601469754829,3.374168709274236
807,Kolkata,11000,Petrol,Manual,First,18.6,1197,81.83,5.0,6.35,3,Low,9.305650551780507,1.8484548129046001
808,Mumbai,60669,Petrol,Manual,First,16.8,1497,116.3,5.0,4.95,8,Low,11.013188138189658,1.599387576580599
809,Hyderabad,12000,Diesel,Manual,First,27.4,1498,98.6,5.0,8.5,3,Low,9.392661928770137,2.1400661634962708
810,Kolkata,35000,Petrol,Manual,First,17.1,1591,121.3,5.0,4.5,8,Low,10.46310334047155,1.5040773967762742
811,Chennai,65000,Diesel,Manual,First,24.2,1498,98.6,7.0,5.5,6,Low,11.082142548877775,1.7047480922384253
812,Kochi,39929,Diesel,Manual,First,20.77,1248,88.8,7.0,6.56,8,Low,10.594858155916969,1.8809906029559975
813,Pune,49000,Petrol,Manual,First,24.07,998,67.1,5.0,2.3,7,Low,10.799575577092764,0.8329091229351039
814,Pune,77757,Diesel,Manual,Second,13.1,2446,75.0,10.0,3.5,17,Low,11.26134385814317,1.252762968495368
815,Kochi,21456,Petrol,Manual,First,20.36,1197,78.9,5.0,4.55,5,Low,9.97375960552146,1.5151272329628591
816,Bangalore,74000,Diesel,Automatic,Second,17.0,1896,105.0,5.0,7.75,12,Low,11.211820372186306,2.0476928433652555
817,Mumbai,37000,Petrol,Manual,Second,18.6,1197,81.83,5.0,5.25,6,Low,10.51867319162636,1.6582280766035324
818,Coimbatore,108640,Diesel,Automatic,First,11.5,2993,235.0,5.0,23.29,8,High,11.595794942792523,3.1480240838962494
819,Mumbai,38000,Diesel,Automatic,First,22.69,1995,190.0,5.0,23.99,5,High,10.545341438708522,3.177637076851603
821,Mumbai,47000,Diesel,Automatic,Second,14.21,2143,203.0,5.0,13.9,10,High,10.757902880692196,2.631888840136646
822,Kolkata,31000,Diesel,Automatic,First,17.68,1968,174.33,5.0,18.95,8,High,10.341742483467284,2.9418039315284354
823,Kolkata,40000,Petrol,Manual,First,20.51,998,67.04,5.0,2.49,7,Low,10.596634733096073,0.9122827104766164
824,Jaipur,4152,Petrol,Manual,First,25.17,799,53.3,5.0,3.15,5,Low,8.331345424845724,1.1474024528375417
825,Mumbai,51000,Diesel,Manual,First,21.66,1498,108.62,5.0,6.45,4,High,10.839580911706463,1.864080130807681
826,Ahmedabad,55000,Diesel,Manual,First,22.07,1199,73.9,5.0,4.25,8,High,10.915088464214607,1.4469189829363254
827,Hyderabad,58500,Petrol,Manual,First,22.74,796,47.3,5.0,2.75,7,Low,10.976782033219948,1.0116009116784799
828,Kochi,58620,Petrol,Manual,First,18.6,1197,81.83,5.0,7.14,4,Low,10.978831214264883,1.965712776351493
829,Mumbai,29605,Petrol,Manual,First,18.3,1197,67.06,5.0,2.44,9,Low,10.295698544965877,0.8919980393051105
830,Jaipur,71172,Petrol,Manual,Third,17.0,1197,80.0,5.0,3.5,9,Low,11.172854761626727,1.252762968495368
831,Chennai,12000,Diesel,Manual,First,22.54,1396,88.73,5.0,7.3,4,Low,9.392661928770137,1.9878743481543455
832,Kolkata,25000,Petrol,Manual,First,20.51,998,67.04,5.0,2.75,7,Low,10.126631103850338,1.0116009116784799
833,Bangalore,43000,Diesel,Manual,Second,22.54,1396,88.73,5.0,8.2,4,Low,10.668955394675699,2.1041341542702074
834,Mumbai,57022,Petrol,Automatic,First,17.21,1197,103.6,5.0,6.51,6,High,10.951192437263671,1.873339456220478
835,Pune,92000,Diesel,Manual,First,20.0,1399,68.05,5.0,4.25,6,Low,11.429543856031177,1.4469189829363254
836,Coimbatore,33372,Petrol,Manual,Second,18.6,1197,85.8,5.0,6.21,7,Low,10.415472504021965,1.8261608959453874
837,Kochi,52625,Diesel,Manual,First,24.0,1120,70.0,5.0,4.58,5,Low,10.870946570984682,1.5216989981260935
838,Chennai,215000,Diesel,Manual,First,14.02,2179,118.3,7.0,7.5,5,Low,12.2783933071098,2.0149030205422647
839,Delhi,65537,CNG,Manual,First,26.83,796,38.4,5.0,2.1,9,Low,11.090370147631774,0.7419373447293773
840,Coimbatore,60138,Petrol,Manual,First,19.81,1086,68.05,5.0,4.09,7,Low,11.004397200252921,1.4085449700547104
841,Mumbai,84000,Diesel,Automatic,First,19.3,1968,141.0,5.0,10.75,7,Low,11.33857207782545,2.3749057545736716
842,Mumbai,47000,Diesel,Automatic,First,15.97,2993,258.0,7.0,41.5,7,High,10.757902880692196,3.7256934272366524
843,Hyderabad,33450,Petrol,Automatic,First,23.1,998,67.04,5.0,4.4,7,Low,10.417807065556374,1.4816045409242156
844,Jaipur,125000,Diesel,Manual,Second,20.54,1598,103.6,5.0,6.25,8,High,11.736069016284437,1.8325814637483102
845,Pune,99606,Diesel,Automatic,Second,16.07,1995,181.0,5.0,10.5,10,High,11.508977682722131,2.3513752571634776
846,Mumbai,64000,Diesel,Manual,First,20.77,1248,88.8,7.0,7.25,7,Low,11.06663836234181,1.9810014688665833
847,Hyderabad,51000,Diesel,Manual,First,20.0,1399,68.05,5.0,3.2,8,Low,10.839580911706463,1.1631508098056809
848,Mumbai,57000,Petrol,Manual,First,16.47,1198,74.0,5.0,3.95,7,High,10.950806546816688,1.3737155789130306
849,Coimbatore,48040,Diesel,Automatic,Second,16.77,2967,241.38,5.0,12.07,12,High,10.77978927619392,2.4907230351094403
850,Pune,43200,Diesel,Manual,First,13.68,2393,147.8,7.0,18.6,4,Low,10.673595774232203,2.9231615807191558
851,Delhi,66000,Diesel,Automatic,First,22.32,1582,126.3,5.0,5.7,8,Low,11.097410021008562,1.7404661748405046
852,Kolkata,31000,Petrol,Manual,First,17.92,1086,62.1,5.0,1.75,8,Low,10.341742483467284,0.5596157879354227
853,Delhi,46000,Diesel,Automatic,Second,16.55,1968,147.51,5.0,10.99,10,High,10.736396675471232,2.39698576841553
854,Kolkata,47346,Diesel,Automatic,First,16.55,1968,147.51,5.0,14.5,9,High,10.76523761774909,2.6741486494265287
855,Jaipur,100000,Diesel,Manual,First,17.0,1896,105.0,5.0,3.11,12,Low,11.512925464970229,1.1346227261911428
856,Coimbatore,63856,Petrol,Automatic,First,13.7,1997,153.86,5.0,13.96,6,Low,11.064385827288515,2.6361960973342264
857,Coimbatore,72996,Diesel,Manual,First,22.32,1582,126.32,5.0,7.11,6,Low,11.198159924108706,1.9615022438151495
858,Chennai,23000,Diesel,Manual,First,24.5,1498,98.6,7.0,6.9,7,Low,10.043249494911286,1.9315214116032138
859,Coimbatore,15985,Petrol,Manual,First,18.6,1197,81.83,5.0,7.77,3,Low,9.679406061493943,2.050270164379556
860,Kolkata,98000,Diesel,Manual,Second,12.8,2494,102.0,8.0,5.5,10,Low,11.49272275765271,1.7047480922384253
861,Hyderabad,70089,Petrol,Manual,First,18.6,1197,81.83,5.0,5.35,7,Low,11.157521142022066,1.6770965609079151
862,Chennai,99000,Diesel,Manual,Second,13.6,2523,63.0,7.0,4.5,10,Low,11.502875129116727,1.5040773967762742
863,Jaipur,72000,Diesel,Manual,First,20.34,1498,103.2,5.0,4.75,7,High,11.184421397998193,1.55814461804655
864,Coimbatore,44194,Diesel,Automatic,First,16.36,2179,187.7,5.0,32.8,6,High,10.696344312245051,3.490428515390098
865,Mumbai,102000,Petrol,Manual,First,17.3,993,60.0,5.0,0.7,16,Low,11.532728092266408,-0.35667494393873245
866,Coimbatore,56652,Diesel,Automatic,First,13.0,2987,258.0,5.0,50.29,3,High,10.944682570334287,3.9178062501838733
867,Mumbai,41650,Diesel,Manual,Second,11.5,2982,171.0,7.0,10.99,11,Low,10.637056647594989,2.39698576841553
868,Coimbatore,61717,Petrol,Automatic,First,18.9,1197,82.0,5.0,5.57,6,Low,11.030314698685258,1.7173950539391927
869,Jaipur,25302,Diesel,Manual,First,25.4,1186,73.97,5.0,5.9,3,Low,10.138638722974616,1.7749523509116738
870,Coimbatore,47016,Petrol,Manual,First,15.29,1591,121.3,5.0,9.43,5,Low,10.758243248292487,2.2438960966453663
871,Bangalore,69000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.9,11,Low,11.141861783579396,1.0647107369924282
872,Delhi,32700,Petrol,Manual,First,19.4,1198,86.8,5.0,3.68,5,Low,10.395130356885344,1.3029127521808397
873,Coimbatore,101337,Diesel,Automatic,First,12.55,2982,168.5,7.0,21.67,6,Low,11.526206875276143,3.075928815548268
874,Ahmedabad,59000,Diesel,Automatic,First,16.55,1968,140.0,5.0,12.5,10,High,10.985292722887856,2.5257286443082556
875,Kochi,41736,Diesel,Automatic,First,11.36,2755,171.5,7.0,19.92,3,Low,10.639119344702229,2.991724252156452
876,Jaipur,71649,Diesel,Manual,First,25.1,1498,98.6,5.0,6.75,7,Low,11.179534476424797,1.9095425048844386
877,Kochi,80606,Diesel,Manual,First,25.1,1498,98.6,5.0,6.96,6,Low,11.297328367411419,1.9401794743463283
878,Jaipur,63262,Petrol,Manual,First,21.7,999,67.0,5.0,3.25,4,Low,11.055040111914732,1.1786549963416462
879,Hyderabad,5456,Diesel,Manual,First,28.4,1248,74.0,5.0,8.65,3,Low,8.604471199523298,2.157559320943788
880,Pune,7500,Petrol,Automatic,First,23.1,998,67.04,5.0,5.0,4,Low,8.922658299524402,1.6094379124341003
881,Delhi,66000,Diesel,Manual,First,15.1,2179,140.0,7.0,5.5,10,Low,11.097410021008562,1.7047480922384253
882,Jaipur,66770,Petrol,Manual,Second,20.36,1197,78.9,5.0,2.6,11,Low,11.109009156851915,0.9555114450274363
883,Kochi,58472,Petrol,Manual,First,19.81,1086,68.05,5.0,3.41,7,Low,10.976303286160228,1.2267122912954254
884,Kolkata,46687,Petrol,Manual,First,22.0,1197,81.8,5.0,2.7,10,Low,10.75122103231314,0.9932517730102834
885,Chennai,77000,Petrol,Automatic,Fourth & Above,9.7,1995,163.5,5.0,5.5,13,Low,11.251560700835821,1.7047480922384253
886,Kolkata,7000,Petrol,Automatic,First,14.33,1984,226.6,4.0,35.0,9,High,8.85366542803745,3.5553480614894135
887,Mumbai,48000,Petrol,Automatic,Second,14.74,1991,184.0,5.0,9.75,10,High,10.778956289890028,2.277267285009756
888,Mumbai,47000,Diesel,Manual,First,21.64,1461,84.8,5.0,4.25,8,High,10.757902880692196,1.4469189829363254
889,Ahmedabad,51530,Petrol,Manual,First,18.9,998,67.1,5.0,3.2,6,Low,10.84991944132227,1.1631508098056809
890,Bangalore,25789,Diesel,Manual,Second,23.4,1248,74.0,5.0,6.85,7,Low,10.157703323404748,1.9242486522741338
891,Delhi,48000,Diesel,Manual,First,25.8,1498,98.6,5.0,4.5,6,Low,10.778956289890028,1.5040773967762742
892,Delhi,52000,Diesel,Manual,First,28.4,1248,74.0,5.0,3.55,9,Low,10.858998997563564,1.2669476034873244
893,Hyderabad,95637,CNG,Manual,Second,13.2,1495,93.7,5.0,1.9,11,Low,11.46831505345168,0.6418538861723947
894,Hyderabad,131000,Diesel,Manual,First,10.5,2609,120.0,7.0,3.6,13,Low,11.782952602183288,1.2809338454620642
895,Kochi,42076,Diesel,Automatic,First,13.0,2143,201.1,5.0,21.8,6,High,10.647232785859165,3.0819099697950434
896,Mumbai,76000,Diesel,Manual,Second,13.0,2982,168.5,7.0,13.5,9,Low,11.238488619268468,2.6026896854443837
897,Bangalore,20487,Petrol,Manual,First,22.7,799,53.64,5.0,2.66,5,Low,9.927545817629198,0.9783261227936078
898,Delhi,43000,Petrol,Manual,Second,16.8,1497,116.3,5.0,3.75,11,Low,10.668955394675699,1.3217558399823195
899,Pune,17000,Petrol,Automatic,First,19.16,2494,158.2,5.0,32.0,3,Low,9.740968623038354,3.4657359027997265
900,Coimbatore,60805,Diesel,Manual,First,26.0,1498,98.6,5.0,8.07,5,Low,11.0154273014151,2.0881534822818573
901,Kochi,58775,Diesel,Manual,First,19.33,1968,138.1,5.0,5.64,9,High,10.981471873408271,1.7298840655099674
902,Hyderabad,70181,Diesel,Automatic,First,17.68,1968,174.33,5.0,23.99,8,High,11.1588328981095,3.177637076851603
903,Coimbatore,85827,Diesel,Manual,First,20.77,1248,88.76,7.0,7.5,5,Low,11.3600889212877,2.0149030205422647
904,Jaipur,58205,Diesel,Automatic,First,19.27,2143,167.62,5.0,27.0,5,High,10.971726540682342,3.295836866004329
905,Mumbai,91000,Diesel,Manual,Second,19.3,1248,73.9,5.0,2.85,13,Low,11.418614785498987,1.0473189942805592
906,Pune,74000,Diesel,Manual,First,19.01,1461,108.45,5.0,6.35,9,Low,11.211820372186306,1.8484548129046001
907,Hyderabad,79324,Diesel,Manual,First,21.1,1248,73.9,5.0,3.3,11,Low,11.28129601000572,1.1939224684724346
908,Bangalore,38623,Petrol,Manual,First,19.1,1197,85.8,5.0,5.0,8,Low,10.561603232924144,1.6094379124341003
909,Coimbatore,59923,Diesel,Manual,First,22.9,1248,74.0,5.0,6.46,7,Low,11.000815683693476,1.8656293177945105
910,Jaipur,23360,Petrol,Manual,First,21.1,814,55.2,5.0,3.75,4,Low,10.058780436942163,1.3217558399823195
911,Kochi,61495,Petrol,Manual,Third,17.3,993,60.0,5.0,1.52,18,Low,11.02671114967651,0.41871033485818504
912,Coimbatore,56661,Petrol,Manual,First,15.1,1196,73.0,7.0,3.61,9,Low,10.944841422363956,1.2837077723447896
913,Coimbatore,40318,Diesel,Automatic,First,14.16,1968,174.3,5.0,43.74,4,High,10.604553298340369,3.778263015248622
